,precision,recall,f1-score,support
0,0.9241658240647118,0.7926164519326065,0.853351117039013,8072.0
1,0.4280833618038948,0.7047244094488189,0.5326248671625929,1778.0
accuracy,0.776751269035533,0.776751269035533,0.776751269035533,0.776751269035533
macro avg,0.6761245929343033,0.7486704306907127,0.692987992100803,9850.0
weighted avg,0.8346191623490028,0.776751269035533,0.7954575868582745,9850.0
