,precision,recall,f1-score,support
0,0.8675804259175351,0.9488354806739346,0.9063905325443787,8072.0
1,0.5958904109589042,0.3425196850393701,0.435,1778.0
accuracy,0.8393908629441624,0.8393908629441624,0.8393908629441624,0.8393908629441624
macro avg,0.7317354184382197,0.6456775828566523,0.6706952662721893,9850.0
weighted avg,0.8185383095118046,0.8393908629441624,0.8213009521521041,9850.0
