Actual,Predicted,Proba
0,0,0.07533333333333334
0,0,0.020666666666666663
0,0,0.0
0,0,0.0175
0,0,0.01
0,0,0.016666666666666666
0,0,0.17083333333333336
0,0,0.0
0,0,0.1654761904761905
0,0,0.31483333333333335
0,0,0.19083333333333333
1,0,0.4993333333333333
0,0,0.025
0,0,0.0
0,0,0.12016666666666666
0,0,0.37549999999999994
0,0,0.0675952380952381
0,0,0.165
0,0,0.07654761904761904
0,0,0.028333333333333335
0,0,0.0
0,0,0.12316666666666669
0,0,0.3669285714285715
0,0,0.07923809523809523
0,0,0.16266666666666665
1,0,0.36166666666666664
0,0,0.3371190476190476
0,0,0.19166666666666668
0,0,0.10166666666666666
0,0,0.165
0,0,0.08166666666666667
0,0,0.3885
0,0,0.07559523809523809
0,0,0.0125
0,0,0.3391666666666667
1,0,0.28924999999999995
0,0,0.0
0,0,0.0
1,0,0.4256666666666667
1,0,0.3289999999999999
0,0,0.39666666666666667
1,1,0.7343333333333333
0,0,0.31990476190476186
0,0,0.32380952380952377
0,0,0.04404761904761905
0,0,0.10966666666666666
0,0,0.07433333333333333
0,0,0.11533333333333334
1,0,0.2701190476190476
0,0,0.005833333333333333
0,0,0.011333333333333332
1,0,0.19866666666666666
0,0,0.027333333333333334
0,0,0.013333333333333332
0,0,0.1728333333333333
0,0,0.024666666666666667
0,0,0.08
0,0,0.42583333333333334
0,0,0.034571428571428565
0,0,0.0
0,0,0.02583333333333333
0,0,0.0825
0,0,0.006
0,0,0.15428571428571428
1,0,0.45833333333333337
0,0,0.2833333333333334
0,0,0.05866666666666667
0,0,0.4936428571428572
0,0,0.07019047619047619
1,1,0.7763333333333332
1,0,0.15166666666666667
0,0,0.38249999999999995
0,0,0.02
0,0,0.034166666666666665
0,0,0.20366666666666666
0,0,0.09566666666666666
0,0,0.1815
1,0,0.21416666666666667
0,0,0.005
0,0,0.018333333333333333
0,0,0.0
0,0,0.017
0,0,0.0
0,0,0.016666666666666666
0,0,0.01
0,0,0.012499999999999997
0,0,0.19021428571428572
0,0,0.003333333333333333
0,0,0.09957142857142857
1,0,0.015142857142857142
0,0,0.0
0,0,0.27314285714285713
0,0,0.24349999999999997
0,0,0.03166666666666666
1,0,0.20950000000000002
1,0,0.17766666666666667
0,0,0.0
0,0,0.0725
0,0,0.29900000000000004
0,0,0.0
0,0,0.395
0,0,0.0125
0,0,0.2255
1,1,0.8866666666666666
0,0,0.022666666666666665
0,0,0.4072380952380953
0,0,0.0
1,0,0.21658333333333332
0,0,0.09566666666666666
0,0,0.0675
0,0,0.15750000000000003
1,0,0.24916666666666665
0,0,0.39083333333333337
0,0,0.13583333333333333
1,0,0.20673809523809525
0,0,0.15240476190476193
1,1,0.5816666666666668
0,0,0.04666666666666666
0,0,0.017333333333333333
0,0,0.10433333333333333
0,0,0.2523095238095238
0,1,0.6485
0,0,0.09833333333333333
0,0,0.015
0,0,0.0
0,0,0.3661666666666667
0,0,0.15200000000000002
0,0,0.30999999999999994
0,0,0.0
0,0,0.0867142857142857
0,0,0.0
0,0,0.0
1,0,0.35216666666666663
0,0,0.055999999999999994
0,0,0.034166666666666665
0,0,0.3785
0,0,0.03083333333333333
0,0,0.3606428571428571
1,0,0.31547619047619047
0,0,0.10885714285714286
1,0,0.39283333333333326
0,0,0.11583333333333332
0,0,0.19008333333333333
0,0,0.18750000000000003
1,0,0.1895
0,0,0.13299999999999998
0,0,0.1258095238095238
0,0,0.192
0,0,0.04533333333333333
0,0,0.165
0,0,0.01
0,0,0.0
0,0,0.4255
0,0,0.20666666666666667
0,0,0.003333333333333333
0,0,0.1704761904761905
0,0,0.0175
0,0,0.23116666666666666
0,0,0.0
0,0,0.025833333333333333
1,0,0.3625
1,0,0.31916666666666665
1,0,0.19966666666666666
1,0,0.4114999999999999
0,0,0.0
1,1,0.7336666666666667
0,0,0.06973809523809524
1,0,0.0
0,0,0.0025
0,0,0.29564285714285715
0,0,0.20783333333333334
0,0,0.0
0,0,0.4028333333333334
1,0,0.3879761904761904
0,0,0.0885
0,0,0.01
1,1,0.5549999999999998
0,1,0.5481666666666666
0,0,0.06433333333333334
0,0,0.087
0,0,0.03
1,0,0.1662142857142857
1,1,0.6886666666666668
0,0,0.005
0,0,0.01742857142857143
0,0,0.0375
0,0,0.005
0,0,0.08285714285714285
0,0,0.003333333333333333
0,0,0.03816666666666666
1,0,0.27949999999999997
0,1,0.7189999999999999
0,0,0.0
0,0,0.006666666666666666
0,0,0.3055
0,0,0.003333333333333333
0,0,0.38050000000000006
0,1,0.5116666666666666
0,0,0.29557142857142854
1,1,0.5268333333333334
0,0,0.01
1,1,0.6764999999999999
0,0,0.012190476190476189
0,0,0.10166666666666668
0,0,0.12433333333333334
0,0,0.14226190476190476
1,1,0.6309166666666666
1,1,0.59
0,0,0.21549999999999997
1,0,0.3765714285714285
0,0,0.0
0,0,0.2128333333333333
0,0,0.0025
0,0,0.08116666666666666
0,0,0.36050000000000004
0,0,0.006666666666666666
1,0,0.23416666666666672
1,0,0.25535714285714284
0,0,0.025
0,0,0.22916666666666663
1,0,0.23004761904761903
0,0,0.283
0,0,0.13566666666666666
0,0,0.0
0,0,0.02
0,0,0.018333333333333333
1,1,0.9031666666666668
0,0,0.0375
0,0,0.0
0,0,0.011000000000000001
0,0,0.203
1,0,0.09416666666666668
0,0,0.011000000000000001
0,0,0.06166666666666666
1,1,0.7013333333333334
