,precision,recall,f1-score,support
0,0.925214899713467,0.8000495540138751,0.8580919479138985,8072.0
1,0.43763066202090595,0.7064116985376828,0.540447504302926,1778.0
accuracy,0.7831472081218274,0.7831472081218274,0.7831472081218274,0.7831472081218274
macro avg,0.6814227808671864,0.753230626275779,0.6992697261084122,9850.0
weighted avg,0.837202232239622,0.7831472081218274,0.8007547072296032,9850.0
