,precision,recall,f1-score,support
0,0.8194923857868021,1.0,0.9007923222854592,8072.0
1,0.0,0.0,0.0,1778.0
accuracy,0.8194923857868021,0.8194923857868021,0.8194923857868021,0.8194923857868021
macro avg,0.40974619289340103,0.5,0.4503961611427296,9850.0
weighted avg,0.6715677703625448,0.8194923857868021,0.7381924492881449,9850.0
