Actual,Predicted,Proba
0,0,0.19286573934873438
0,0,0.057523244870810904
0,0,0.017686497297826613
0,0,0.05073419237332705
0,0,0.197786239241561
0,0,0.07190982921133024
0,0,0.03542492020144925
0,0,0.030697182407027054
0,0,0.022682553134440574
0,1,0.9034542089284606
0,0,0.14199465671564607
1,0,0.4640228312106689
0,0,0.00795552588455918
0,0,0.017467181893864387
0,0,0.009782372756323238
0,0,0.02010009475260875
0,0,0.12063112947819617
0,0,0.006817615724197674
0,0,0.04568698784793001
0,0,0.005170346100182662
0,0,0.0029747550040736476
0,1,0.5415605306001706
0,0,0.007892404167461878
0,0,0.13391519614914058
0,0,0.011594926312245086
1,1,0.641070109439841
0,0,0.027996808134319394
0,0,0.015541637824024405
0,0,0.00998730260426355
0,0,0.026607188366403817
0,0,0.011315042666380443
0,0,0.11959244888735225
0,0,0.3695415542571882
0,0,0.054207952275078006
0,0,0.019016892581480413
1,0,0.3723774184128977
0,0,0.00992165790288232
0,0,0.15910944765423898
1,0,0.2643053494877493
1,0,0.4579031083981127
0,0,0.0032853137612255086
1,0,0.2328055340597045
0,0,0.17864353826296306
0,0,0.008435920747471565
0,0,0.10349146561699754
0,0,0.020715208142353482
0,1,0.8124058325309166
0,0,0.009851230533127761
1,0,0.24952952017794464
0,0,0.07803996548868648
0,0,0.008318615450400666
1,0,0.31634797830929673
0,0,0.004268235491590806
0,1,0.8041374692387883
0,0,0.08687529043458317
0,0,0.25493631613028117
0,0,0.034442942644933514
0,0,0.028453619632075884
0,0,0.021183151490575224
0,0,0.04118966011755143
0,0,0.18345504285941502
0,0,0.15563683439294032
0,0,0.22878176104080392
0,0,0.034663225376083635
1,0,0.031185534610907797
0,0,0.017060830605974863
0,0,0.4483801468228461
0,1,0.5940558473221919
0,1,0.5048168451897314
1,1,0.7087166719857975
1,0,0.4878812933638763
0,0,0.02469201420889339
0,0,0.06892984798020926
0,0,0.02411773084928815
0,0,0.03137832990633541
0,0,0.008632879222575659
0,0,0.011138507649745088
1,0,0.10566619712771837
0,0,0.00745314546418812
0,0,0.04146227674407582
0,0,0.027925273406443216
0,0,0.26973049125284115
0,0,0.007619098450579926
0,1,0.5030694883304815
0,0,0.239224235758171
0,0,0.011064247160073142
0,0,0.055766293284337305
0,0,0.034629627343111855
0,0,0.02036013723984343
1,1,0.5695204096498652
0,0,0.05242687104356791
0,0,0.020259221210339594
0,0,0.05818879004503922
0,0,0.01653293277155537
1,0,0.4274564408705918
1,0,0.1180646791534751
0,0,0.103509584724092
0,0,0.020578337805875216
0,0,0.015781899506455407
0,0,0.01103393590216289
0,0,0.011794216033330708
0,0,0.06108557244954499
0,0,0.03613765942880184
1,1,0.8488007047875993
0,0,0.04419654731692539
0,0,0.03315188026038194
0,0,0.46234967306898145
1,0,0.27604877686984375
0,0,0.01103650017382634
0,0,0.3162262195247272
0,0,0.05383707321168629
1,0,0.47920933745837796
0,1,0.5105969895788295
0,0,0.04921579780613669
1,1,0.584926650339282
0,0,0.012752650005658603
1,0,0.4633519893229206
0,1,0.7168517208444489
0,0,0.11506984538870824
0,0,0.05886622482565529
0,0,0.02899920250298252
0,0,0.007194771036049094
0,0,0.44887681966227044
0,0,0.20788651755043183
0,0,0.18586810288424077
0,0,0.059693696169706656
0,0,0.018482154113409976
0,1,0.875018691459376
0,0,0.09090970532294176
0,1,0.697817070801737
0,0,0.0020491070634262995
0,0,0.2150280304254858
1,0,0.03278573469413443
0,0,0.0029431738882207013
0,0,0.240063180949834
0,0,0.07793682912001415
0,0,0.42652389831846604
0,0,0.12464066203355015
1,0,0.09448040500804669
0,0,0.010211518963130078
1,1,0.5491669190150772
0,0,0.0032829806817186572
0,0,0.026137238585184665
0,0,0.12268031401048915
1,0,0.3723806896817464
0,0,0.014872969589658178
0,0,0.016242792148753744
0,0,0.051552079978599036
0,0,0.14656534172768723
0,0,0.017675169576983542
0,0,0.08360044392412413
0,0,0.09939552792601779
0,0,0.20464413134419013
0,0,0.023480932927536155
0,0,0.1169288986438787
0,0,0.3018792317107799
0,0,0.019999704299262896
0,0,0.0559548800822047
0,0,0.08400973616049948
0,0,0.0936869524103768
1,0,0.22403781066764375
1,0,0.4191960236608265
1,0,0.4342756370883242
1,0,0.10492821011018129
0,0,0.4155571233682085
1,0,0.4205515180497608
0,0,0.04423686095543406
1,0,0.16804709916048463
0,1,0.5197413590996606
0,0,0.025165047889110972
0,0,0.01670441606327114
0,0,0.06132251863460891
0,0,0.1080540575220301
1,1,0.9075885370815703
0,0,0.1389429959306805
0,0,0.05329381950975951
1,1,0.7799587389374042
0,0,0.0816608894880935
0,0,0.056336733318300525
0,0,0.010786991423788606
0,0,0.09041328912665228
1,0,0.20781227887740422
1,0,0.4143452899279001
0,0,0.015317428510931689
