,precision,recall,f1-score,support
0,0.9523481527864747,0.7541060825802933,0.8417120364157091,80673.0
1,0.4261953660582569,0.8287771402857464,0.5629142868058606,17778.0
accuracy,0.7675899686138282,0.7675899686138282,0.7675899686138282,0.7675899686138282
macro avg,0.6892717594223658,0.7914416114330198,0.7023131616107849,98451.0
weighted avg,0.8573369874102544,0.7675899686138282,0.7913675361814414,98451.0
