,precision,recall,f1-score,support
0,0.9466269841269841,0.5910555004955401,0.7277303233679072,8072.0
1,0.3137214137214137,0.8487064116985377,0.4581056466302368,1778.0
accuracy,0.6375634517766497,0.6375634517766497,0.6375634517766497,0.6375634517766497
macro avg,0.6301741989241989,0.719880956097039,0.592917984999072,9850.0
weighted avg,0.8323827095908313,0.6375634517766497,0.6790610162369856,9850.0
