,precision,recall,f1-score,support
0,0.9444838595246541,0.6596878097125867,0.7768052516411379,8072.0
1,0.3478157644824311,0.8239595050618672,0.48914858096828046,1778.0
accuracy,0.6893401015228426,0.6893401015228426,0.6893401015228426,0.6893401015228426
macro avg,0.6461498120035426,0.741823657387227,0.6329769163047092,9850.0
weighted avg,0.8367807252114489,0.6893401015228426,0.7248810323054689,9850.0
