,precision,recall,f1-score,support
0,0.8736611770125533,0.9397918731417245,0.9055207400775888,8072.0
1,0.583547557840617,0.3830146231721035,0.46247877758913414,1778.0
accuracy,0.8392893401015229,0.8392893401015229,0.8392893401015229,0.8392893401015229
macro avg,0.7286043674265852,0.661403248156914,0.6839997588333615,9850.0
weighted avg,0.8212934597650707,0.8392893401015229,0.8255482924324646,9850.0
