Actual,Predicted,Proba
0,0,0.269298620191014
0,0,0.07355829904481856
0,0,0.06366938370537162
0,0,0.1412948812808834
0,0,0.38144096064285005
0,0,0.13914718377006713
0,1,0.6043438921960514
0,0,0.025949178216558677
0,0,0.03088935399213815
0,1,0.8880523260740072
0,0,0.08775428187012174
1,1,0.8730521088770794
0,0,0.0046821102572734965
0,0,0.005961671951811771
0,0,0.014530788790522112
0,0,0.015421835892417404
0,0,0.2572974928534117
0,0,0.0022570870509702823
0,0,0.09640146666244895
0,0,0.007912972174536221
0,0,0.0046130856796672
0,0,0.31350409520620204
0,0,0.0029911525187230835
0,0,0.08345785728675435
0,0,0.0025948389044078467
1,0,0.26212780209028697
0,0,0.03834916410675365
0,0,0.034484989763397596
0,0,0.005481918747316924
0,0,0.05169969014884114
0,0,0.015023574452272204
0,0,0.0248179761778273
0,0,0.2351798910682302
0,0,0.03518080904055781
0,0,0.048923387614203714
1,1,0.72067607264997
0,0,0.003710073015284246
0,0,0.17256540520353564
1,0,0.3658956452492034
1,0,0.31126038118974775
0,0,0.04213544724733431
1,0,0.36767430320931693
0,0,0.1687903546826019
0,0,0.006163364744174763
0,0,0.11256041957130203
0,0,0.028256782529446217
0,1,0.642488737829611
0,0,0.0035608035835437957
1,1,0.5065937052819813
0,0,0.14722907725128667
0,0,0.0421844021434643
1,1,0.7500863541186131
0,0,0.01610833375402389
0,1,0.6221180961944699
0,0,0.020777477268881264
0,0,0.17585193194165516
0,0,0.034794077823704674
0,0,0.21321123582182655
0,0,0.02937336229965483
0,0,0.14334755747821684
0,0,0.2435884836293467
0,0,0.04575633597300723
0,0,0.14701405207922702
0,0,0.0722332112851654
1,0,0.08544351978045832
0,0,0.008454774687842597
0,0,0.21035863460544657
0,0,0.16213523847804667
0,0,0.49237045440023913
1,1,0.7338635699295789
1,0,0.4574284226148159
0,0,0.01872588692876168
0,0,0.014480424621744727
0,0,0.055176558072901755
0,0,0.055442469615380116
0,0,0.008888107511436694
0,0,0.020515262732024264
1,0,0.10340052037645331
0,0,0.040972565769923384
0,0,0.21374626743689754
0,0,0.015121440339159095
0,0,0.07863363695648326
0,0,0.009528658541216265
0,1,0.509123391497262
0,0,0.3029034798318007
0,0,0.025655866419829167
0,0,0.2252355559771779
0,0,0.02441273988078225
0,0,0.041983990272604244
1,0,0.42817948010370993
0,0,0.03638923630038584
0,0,0.06252657963373728
0,0,0.09249375953939881
0,0,0.02290127535042831
1,0,0.41995011584701497
1,0,0.1441260026919938
0,0,0.06425122726042047
0,0,0.03744079580258116
0,0,0.04182778832348189
0,0,0.007477490170101055
0,0,0.006759018480508946
0,0,0.18370997082675083
0,0,0.0812192643407111
1,1,0.8939614289634247
0,0,0.12481618394884954
0,0,0.12426947826214929
0,0,0.48081533148313077
1,0,0.24638951556187694
0,0,0.004087415841454451
0,1,0.6518764376434483
0,0,0.07866741074097931
1,0,0.4171397288460278
0,0,0.4834956734547918
0,0,0.15977346877081244
1,0,0.14613405118245265
0,0,0.0057904826260760595
1,0,0.15615746702522643
0,1,0.924413471272881
0,0,0.43561078146587656
0,0,0.040990541766828946
0,0,0.013078199338842585
0,0,0.0024495814376810027
0,1,0.7899837567801866
