,precision,recall,f1-score,support
0,0.9444903828869315,0.6509167492566897,0.7706930693069307,80720.0
1,0.3426645204936198,0.8262924002925128,0.48443374447595805,17777.0
accuracy,0.6825690122541803,0.6825690122541803,0.6825690122541803,0.6825690122541803
macro avg,0.6435774516902757,0.7386045747746013,0.6275634068914444,98497.0
weighted avg,0.8358712538193872,0.6825690122541803,0.7190282265450171,98497.0
