,precision,recall,f1-score,support
0,0.9385058444858546,0.6863230921704658,0.7928443649373882,8072.0
1,0.35850012667849,0.7958380202474691,0.4943231441048035,1778.0
accuracy,0.7060913705583757,0.7060913705583757,0.7060913705583757,0.7060913705583757
macro avg,0.6485029855821723,0.7410805562089675,0.6435837545210958,9850.0
weighted avg,0.833810396134434,0.7060913705583757,0.7389590115728871,9850.0
