jour,mois,lum,agg,int,atm,col,catr,circ,vosp,prof,plan,surf,infra,situ,vma,place,sexe,an_nais,trajet,locp,senc,catv,obs,obsm,manv,nb_v,nb_u,hr,has_ceinture,has_gants,has_casque,has_airbag,has_gilet,has_de,choc_avant,choc_arriere,choc_gauche,choc_droit,target
2,12,jour,oui,simple,normale,deux_vl,route_secondaire,complexe,sans,incline,rectiligne,normale,aucun,normale,50,conducteur,masculin,1998,autre,sans,decroissant,cycle_edp,aucun,vehicule,1,2,2,13,0,0,1,0,0,0,0,0,1,0,0
31,5,jour,non,aucun,normale,autres,route_secondaire,simple,sans,incline,rectiligne,normale,aucun,particuliere,80,pieton,masculin,1960,personnelle,autre,inconnu,vl,aucun,pieton,26,1,2,12,0,0,0,0,0,0,1,0,0,0,1
17,6,jour,oui,aucun,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,zones,normale,30,conducteur,feminin,1960,personnelle,sans,croissant,cycle_edp,aucun,aucun,1,1,1,17,0,0,0,0,0,0,1,0,0,0,1
16,2,jour,non,aucun,normale,deux_vl,route_secondaire,simple,sans,plat,courbe,normale,aucun,normale,80,conducteur,masculin,1979,personnelle,sans,decroissant,vl,aucun,vehicule,1,2,2,17,1,0,0,0,0,0,1,0,0,0,1
20,3,jour,oui,simple,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,conducteur,masculin,1992,professionnelle,sans,inconnu,pl,aucun,pieton,15,1,2,15,1,0,0,0,0,0,1,0,0,1,0
31,12,nocturne,oui,aucun,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,passager_avant,feminin,1987,personnelle,sans,croissant,vl,aucun,pieton,1,1,3,21,1,0,0,0,0,0,1,0,1,0,0
20,10,nocturne,non,aucun,normale,deux_vl,route_secondaire,simple,sans,plat,courbe,normale,aucun,normale,80,conducteur,masculin,1981,personnelle,sans,decroissant,vl,aucun,vehicule,0,2,3,19,1,0,0,0,0,0,1,0,0,0,1
21,2,jour,non,aucun,normale,sans_collision,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,80,conducteur,feminin,1988,personnelle,sans,decroissant,2rm,aucun,aucun,1,1,1,15,0,1,1,0,0,0,0,0,1,0,0
18,11,jour,oui,simple,normale,autres,route_secondaire,simple,avec,plat,rectiligne,normale,aucun,normale,50,conducteur,masculin,1992,professionnelle,sans,decroissant,vl,aucun,vehicule,1,3,4,15,1,0,0,0,0,0,1,0,1,0,0
20,7,jour,non,aucun,normale,deux_vl,route_secondaire,simple,sans,plat,courbe,normale,aucun,normale,80,conducteur,masculin,1966,personnelle,sans,croissant,2rm,aucun,vehicule,16,2,2,18,0,0,1,0,0,0,1,0,1,0,1
8,7,jour,non,simple,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,80,conducteur,masculin,2003,domicile,sans,inconnu,2rm,aucun,vehicule,1,2,2,8,0,1,1,0,0,0,1,0,0,0,1
