jour,mois,lum,agg,int,atm,col,catr,circ,vosp,prof,plan,surf,infra,situ,vma,place,sexe,an_nais,trajet,locp,senc,catv,obs,obsm,manv,nb_v,nb_u,hr,has_ceinture,has_gants,has_casque,has_airbag,has_gilet,has_de,choc_avant,choc_arriere,choc_gauche,choc_droit,target
17,1,nocturne,non,aucun,pluvieuses,autres,route_secondaire,simple,sans,incline,courbe,humide,aucun,normale,80,conducteur,masculin,1966,personnelle,sans,decroissant,vl,structurel,vehicule,11,3,4,19,0,0,0,0,0,0,1,0,1,0,1
28,2,jour,non,aucun,normale,sans_collision,route_principale,simple,sans,incline,courbe,normale,routiers,particuliere,50,conducteur,masculin,1987,personnelle,sans,decroissant,2rm,aucun,aucun,16,1,1,11,0,1,1,0,0,0,1,0,0,0,0
23,8,jour,oui,simple,normale,autres,route_secondaire,complexe,sans,plat,courbe,normale,aucun,particuliere,50,pieton,feminin,2010,personnelle,autre,decroissant,vl,naturel,pieton,15,1,3,9,0,0,0,0,0,0,1,1,1,1,1
23,12,nocturne,oui,complexe,pluvieuses,deux_vl,route_secondaire,simple,sans,plat,rectiligne,humide,aucun,normale,30,conducteur,masculin,1989,autre,sans,croissant,2rm,aucun,vehicule,1,2,3,6,0,1,1,0,0,0,0,0,1,0,1
25,9,nocturne,non,aucun,pluvieuses,deux_vl,route_secondaire,simple,sans,plat,rectiligne,humide,aucun,normale,80,conducteur,feminin,1975,domicile,sans,decroissant,vl,structurel,vehicule,1,2,2,20,1,0,0,1,0,0,1,0,1,0,1
9,8,jour,non,aucun,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,80,conducteur,masculin,1962,personnelle,sans,inconnu,vl,naturel,aucun,1,1,2,16,1,0,0,0,0,0,1,0,0,0,1
20,2,nocturne,non,aucun,normale,autres,route_principale,complexe,sans,plat,rectiligne,normale,aucun,normale,90,passager_avant,masculin,1995,personnelle,sans,decroissant,2rm,structurel,aucun,1,1,2,21,0,0,1,0,0,0,0,0,1,0,1
3,6,jour,oui,aucun,normale,autres,route_secondaire,complexe,sans,plat,rectiligne,normale,zones,normale,50,passager_avant,feminin,1976,personnelle,sans,inconnu,vl,aucun,vehicule,1,3,5,20,1,0,0,0,0,0,0,1,0,0,0
21,3,nocturne,oui,aucun,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,conducteur,masculin,1988,personnelle,sans,croissant,2rm,structurel,aucun,0,1,1,22,0,0,1,0,0,0,1,0,0,0,1
13,9,jour,oui,simple,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,conducteur,masculin,1975,autre,sans,croissant,vl,aucun,vehicule,1,2,2,19,1,0,0,0,0,0,0,0,0,1,0
7,10,crepuscule_aube,non,aucun,normale,autres,route_secondaire,simple,sans,incline,rectiligne,normale,aucun,particuliere,80,conducteur,masculin,1975,domicile,sans,croissant,vl,structurel,aucun,1,1,1,4,1,0,0,0,0,0,1,0,0,1,1
13,1,nocturne,oui,aucun,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,routiers,normale,50,conducteur,masculin,1996,personnelle,sans,inconnu,vl,aucun,vehicule,2,3,6,0,1,0,0,0,0,0,1,0,0,0,0
20,9,nocturne,non,simple,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,routiers,particuliere,80,conducteur,masculin,1988,personnelle,sans,croissant,vl,naturel,aucun,1,1,1,20,1,0,0,0,0,0,0,0,0,1,1
2,6,jour,non,aucun,normale,deux_vl,route_secondaire,simple,sans,incline,courbe,normale,aucun,normale,80,conducteur,feminin,1968,personnelle,sans,decroissant,vl,aucun,autre,1,2,2,11,1,0,0,0,0,0,1,0,0,1,0
31,3,jour,non,aucun,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,70,conducteur,masculin,1985,domicile,sans,decroissant,2rm,structurel,aucun,17,1,1,13,0,0,1,0,0,0,1,0,0,0,1
7,8,jour,non,aucun,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,80,conducteur,masculin,1970,professionnelle,sans,croissant,2rm,aucun,vehicule,26,2,2,13,0,0,1,0,0,0,0,1,1,0,1
20,10,crepuscule_aube,non,aucun,normale,sans_collision,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,80,conducteur,masculin,1967,personnelle,sans,decroissant,vl,naturel,aucun,14,1,2,18,0,0,0,0,0,0,0,0,0,0,1
8,9,jour,oui,simple,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,conducteur,masculin,1975,personnelle,sans,croissant,2rm,aucun,vehicule,19,2,2,15,0,1,1,0,0,0,1,0,0,0,1
28,11,crepuscule_aube,oui,aucun,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,humide,aucun,normale,50,conducteur,masculin,1998,domicile,sans,inconnu,2rm,aucun,vehicule,1,2,2,8,0,1,1,0,0,0,1,0,0,0,1
24,6,jour,non,aucun,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,particuliere,90,conducteur,feminin,1956,autre,sans,croissant,vl,naturel,aucun,19,1,1,10,1,0,0,0,0,0,1,0,1,0,1
22,12,jour,non,aucun,normale,autres,route_secondaire,simple,sans,plat,courbe,normale,aucun,normale,80,passager,feminin,2007,personnelle,sans,decroissant,vl,aucun,vehicule,13,3,5,15,1,0,0,1,0,0,1,0,0,0,1
19,10,jour,oui,complexe,normale,deux_vl,route_secondaire,complexe,sans,plat,rectiligne,normale,aucun,normale,50,conducteur,masculin,1951,personnelle,sans,croissant,vl,aucun,pieton,0,1,2,12,1,0,0,0,0,0,1,0,0,1,0
21,2,jour,oui,aucun,normale,deux_vl,route_secondaire,simple,sans,plat,courbe,normale,aucun,normale,50,conducteur,masculin,1989,personnelle,sans,inconnu,vl,aucun,vehicule,1,2,2,17,1,0,0,0,0,0,1,0,1,0,0
3,12,jour,oui,complexe,normale,deux_vl,route_secondaire,simple,sans,plat,courbe,normale,zones,normale,70,conducteur,masculin,1971,personnelle,sans,decroissant,2rm,aucun,vehicule,5,2,2,15,0,0,1,0,0,0,1,0,1,0,1
27,10,jour,non,aucun,pluvieuses,deux_vl,route_principale,complexe,sans,plat,rectiligne,humide,aucun,normale,90,conducteur,masculin,1955,professionnelle,sans,croissant,pl,aucun,vehicule,1,2,2,14,1,0,0,0,0,0,0,1,0,0,0
7,9,jour,non,aucun,normale,deux_vl,route_principale,simple,sans,plat,rectiligne,normale,aucun,normale,80,conducteur,masculin,1983,domicile,sans,croissant,2rm,aucun,vehicule,17,2,2,8,0,1,1,0,0,0,1,0,0,0,1
21,10,jour,oui,aucun,difficiles,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,conducteur,feminin,2002,personnelle,sans,croissant,vl,structurel,aucun,0,3,5,9,1,0,0,0,0,0,0,0,0,0,0
30,8,jour,non,aucun,normale,deux_vl,route_principale,simple,sans,plat,rectiligne,normale,aucun,normale,80,passager,masculin,2013,autre,sans,decroissant,vl,aucun,vehicule,1,2,5,17,1,0,0,0,0,0,1,0,0,0,1
11,7,jour,non,aucun,normale,deux_vl,route_principale,simple,sans,plat,rectiligne,normale,aucun,normale,110,conducteur,masculin,1975,domicile,sans,croissant,vl,aucun,vehicule,2,2,4,12,1,0,0,0,0,0,0,1,0,0,0
5,7,jour,oui,simple,difficiles,deux_vl,route_secondaire,complexe,sans,plat,rectiligne,normale,aucun,normale,50,conducteur,masculin,1991,personnelle,sans,decroissant,2rm,aucun,vehicule,1,2,2,11,0,0,1,0,0,0,1,0,0,0,1
29,4,jour,non,aucun,normale,deux_vl,route_principale,simple,sans,incline,rectiligne,normale,aucun,normale,50,conducteur,masculin,1984,domicile,sans,decroissant,vl,aucun,vehicule,3,2,2,18,0,1,1,0,0,0,1,0,1,0,0
3,2,nocturne,oui,complexe,normale,deux_vl,route_secondaire,simple,sans,plat,courbe,humide,routiers,normale,50,passager_avant,feminin,1967,personnelle,sans,decroissant,vl,aucun,aucun,1,2,3,19,0,0,0,0,0,0,0,0,0,1,1
1,3,crepuscule_aube,non,simple,pluvieuses,deux_vl,route_secondaire,simple,sans,plat,rectiligne,humide,aucun,normale,80,passager_avant,feminin,1999,personnelle,sans,decroissant,2rm,aucun,vehicule,1,2,3,18,0,1,1,0,0,0,1,0,0,0,1
4,9,jour,oui,aucun,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,conducteur,feminin,1997,personnelle,sans,decroissant,vl,aucun,vehicule,2,3,3,19,1,0,0,0,0,0,1,0,0,0,0
10,2,crepuscule_aube,oui,simple,normale,deux_vl,route_urbaine,simple,sans,plat,rectiligne,normale,aucun,normale,50,conducteur,feminin,1966,personnelle,sans,inconnu,vl,aucun,vehicule,0,2,2,19,1,0,0,0,0,0,1,0,0,0,0
24,1,nocturne,oui,aucun,difficiles,autres,route_secondaire,simple,sans,plat,courbe,autre,aucun,particuliere,50,passager,feminin,2013,domicile,sans,croissant,vl,structurel,aucun,1,1,2,7,1,0,0,0,0,0,1,0,0,0,0
9,9,nocturne,non,simple,difficiles,autres,route_secondaire,simple,sans,plat,rectiligne,humide,zones,particuliere,80,conducteur,masculin,2001,domicile,sans,decroissant,vl,structurel,aucun,1,1,2,21,0,0,0,0,0,0,1,0,1,0,1
16,4,jour,non,aucun,normale,autres,route_principale,complexe,sans,plat,rectiligne,normale,aucun,normale,110,conducteur,feminin,1992,personnelle,sans,croissant,vl,aucun,vehicule,0,5,5,14,1,0,0,0,0,0,1,0,0,0,0
24,12,nocturne,non,aucun,pluvieuses,autres,route_principale,complexe,sans,plat,rectiligne,humide,aucun,normale,110,conducteur,feminin,1982,personnelle,sans,decroissant,vl,aucun,vehicule,17,2,7,7,1,0,0,0,0,0,0,0,0,0,0
2,10,jour,oui,simple,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,conducteur,masculin,2006,personnelle,sans,croissant,2rm,aucun,aucun,1,2,2,14,0,0,1,0,0,0,1,0,0,1,1
11,5,nocturne,non,complexe,normale,autres,route_principale,simple,sans,plat,courbe,normale,routiers,particuliere,110,conducteur,masculin,2001,personnelle,sans,croissant,vl,structurel,aucun,16,1,3,22,1,0,0,0,0,0,1,0,0,1,0
23,11,jour,non,aucun,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,70,conducteur,masculin,1956,personnelle,sans,decroissant,vl,aucun,vehicule,1,2,2,10,1,0,0,0,0,0,1,0,1,0,1
22,10,jour,non,aucun,pluvieuses,deux_vl,route_secondaire,simple,sans,incline,courbe,humide,aucun,normale,80,conducteur,feminin,1965,personnelle,sans,croissant,vl,aucun,vehicule,1,2,3,11,1,0,0,0,0,0,1,0,1,0,0
13,7,jour,oui,aucun,normale,sans_collision,route_secondaire,simple,sans,incline,courbe,normale,aucun,normale,50,conducteur,feminin,1966,personnelle,sans,croissant,2rm,aucun,aucun,1,1,1,19,0,1,1,0,0,0,1,0,0,0,1
18,1,jour,oui,complexe,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,conducteur,masculin,2004,professionnelle,sans,croissant,2rm,aucun,vehicule,1,2,2,13,0,0,1,0,0,0,1,0,1,0,0
24,9,jour,non,aucun,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,80,conducteur,feminin,1944,personnelle,sans,decroissant,vl,aucun,vehicule,1,2,2,10,1,0,0,0,0,0,1,0,0,0,1
24,5,jour,non,aucun,difficiles,sans_collision,autre,simple,sans,incline,courbe,humide,routiers,particuliere,80,passager,feminin,1957,personnelle,sans,inconnu,vl,structurel,aucun,1,1,4,7,1,0,0,0,0,0,1,0,1,0,1
15,3,jour,oui,aucun,difficiles,deux_vl,route_secondaire,simple,avec,plat,rectiligne,normale,aucun,normale,50,passager,masculin,2017,personnelle,sans,croissant,vl,aucun,pieton,26,2,6,15,1,0,0,0,0,0,1,0,0,1,0
7,5,jour,oui,aucun,normale,deux_vl,route_urbaine,simple,sans,incline,courbe,normale,aucun,normale,50,conducteur,masculin,1985,personnelle,sans,inconnu,vl,aucun,autre,0,2,2,14,1,0,0,0,0,0,0,0,0,0,0
16,6,jour,non,aucun,normale,deux_vl,route_principale,simple,sans,plat,rectiligne,normale,aucun,normale,90,conducteur,feminin,1980,personnelle,sans,croissant,vl,aucun,vehicule,0,2,2,14,1,0,0,0,0,0,0,1,0,1,0
17,9,nocturne,oui,aucun,normale,autres,route_urbaine,simple,sans,plat,rectiligne,humide,aucun,normale,50,conducteur,masculin,1982,personnelle,sans,decroissant,2rm,naturel,aucun,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1
7,8,nocturne,non,aucun,normale,deux_vl,route_principale,complexe,sans,plat,rectiligne,normale,zones,normale,110,passager,masculin,1962,professionnelle,sans,decroissant,vl,aucun,vehicule,4,2,3,22,0,0,0,0,1,0,0,1,1,0,0
20,12,crepuscule_aube,non,aucun,normale,sans_collision,route_secondaire,simple,sans,plat,courbe,normale,aucun,particuliere,80,conducteur,masculin,1990,personnelle,sans,decroissant,vl,aucun,aucun,1,1,1,17,1,0,0,0,0,0,1,1,1,1,1
29,6,jour,non,aucun,normale,autres,route_principale,simple,sans,plat,rectiligne,normale,aucun,normale,90,conducteur,masculin,1971,professionnelle,sans,decroissant,vl,aucun,vehicule,26,3,3,13,0,0,0,0,0,0,0,0,0,0,1
7,10,jour,oui,simple,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,conducteur,feminin,1975,domicile,sans,croissant,vl,aucun,pieton,1,1,2,8,1,0,0,0,0,0,1,0,0,0,0
28,3,jour,non,aucun,normale,deux_vl,route_urbaine,simple,sans,plat,rectiligne,normale,aucun,normale,70,conducteur,masculin,2001,personnelle,sans,decroissant,vl,aucun,vehicule,17,2,2,19,1,0,0,0,0,0,0,0,1,0,0
23,11,jour,oui,simple,pluvieuses,deux_vl,route_secondaire,simple,sans,plat,rectiligne,humide,aucun,normale,50,passager_avant,masculin,1972,personnelle,sans,croissant,vl,aucun,vehicule,1,2,6,13,0,0,0,0,0,0,1,0,0,0,0
25,3,jour,non,aucun,normale,sans_collision,route_principale,simple,sans,plat,rectiligne,normale,aucun,normale,90,conducteur,masculin,1991,domicile,sans,decroissant,vl,aucun,aucun,21,1,1,14,1,0,0,0,0,0,1,1,1,1,0
12,6,jour,non,aucun,normale,deux_vl,route_principale,complexe,sans,plat,rectiligne,normale,aucun,normale,90,conducteur,masculin,1966,personnelle,sans,croissant,vl,aucun,vehicule,1,2,4,17,1,0,0,0,0,0,1,0,0,0,0
3,12,nocturne,non,aucun,pluvieuses,deux_vl,route_principale,complexe,sans,incline,rectiligne,humide,routiers,normale,130,conducteur,masculin,1998,personnelle,sans,croissant,vl,aucun,vehicule,2,2,2,19,1,0,0,0,0,0,1,0,1,0,0
11,3,nocturne,non,aucun,normale,deux_vl,route_secondaire,simple,sans,plat,courbe,normale,aucun,normale,70,conducteur,masculin,1983,personnelle,sans,decroissant,vl,aucun,vehicule,13,2,2,21,0,0,0,0,0,0,0,0,0,1,1
20,6,jour,non,simple,normale,autres,route_secondaire,simple,sans,incline,courbe,normale,aucun,normale,80,conducteur,masculin,1954,personnelle,sans,croissant,2rm,structurel,aucun,1,1,1,19,0,1,1,0,0,0,1,0,0,1,1
21,1,jour,oui,complexe,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,zones,particuliere,130,conducteur,masculin,2000,personnelle,sans,croissant,vl,aucun,pieton,1,1,2,15,0,0,0,0,0,0,1,0,0,1,0
12,7,jour,non,aucun,normale,autres,route_principale,simple,sans,plat,rectiligne,normale,routiers,normale,70,passager_avant,masculin,1958,personnelle,sans,croissant,vl,aucun,vehicule,2,3,7,16,1,0,0,0,0,0,0,1,0,0,0
20,10,crepuscule_aube,oui,aucun,pluvieuses,autres,route_secondaire,simple,sans,plat,rectiligne,humide,aucun,normale,50,conducteur,masculin,1972,domicile,sans,croissant,vl,aucun,pieton,1,1,2,8,1,0,0,0,0,0,1,0,0,0,0
7,4,jour,non,aucun,normale,autres,route_principale,complexe,sans,plat,rectiligne,normale,aucun,normale,90,conducteur,masculin,1972,domicile,sans,decroissant,vl,aucun,vehicule,2,3,3,18,1,0,0,0,0,0,0,1,0,0,0
16,7,jour,oui,complexe,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,zones,normale,50,passager_avant,feminin,2005,personnelle,sans,decroissant,vl,aucun,vehicule,1,2,6,16,1,0,0,0,0,0,1,0,1,0,0
5,6,jour,oui,complexe,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,zones,normale,50,conducteur,masculin,2001,autre,sans,inconnu,2rm,aucun,vehicule,1,2,2,14,0,0,1,0,0,0,1,0,0,1,0
4,6,jour,oui,aucun,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,30,conducteur,masculin,1970,personnelle,sans,croissant,vl,aucun,vehicule,2,2,3,7,1,0,0,0,0,0,1,0,0,0,0
3,7,jour,oui,aucun,normale,autres,autre,simple,sans,plat,rectiligne,normale,aucun,normale,50,pieton,masculin,1973,professionnelle,autre,inconnu,vl,aucun,pieton,20,1,2,12,0,0,0,0,0,0,1,0,0,0,1
2,7,jour,non,aucun,normale,deux_vl,route_secondaire,simple,sans,incline,rectiligne,normale,aucun,normale,80,conducteur,feminin,1951,personnelle,sans,croissant,vl,aucun,vehicule,1,2,4,17,1,0,0,0,0,0,1,0,0,0,1
11,4,jour,oui,complexe,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,routiers,normale,50,conducteur,masculin,1991,personnelle,sans,croissant,2rm,aucun,vehicule,1,2,2,17,0,0,1,0,0,0,1,0,0,0,1
21,12,jour,non,aucun,normale,deux_vl,route_principale,simple,sans,plat,rectiligne,normale,aucun,normale,90,conducteur,feminin,1976,personnelle,sans,croissant,vl,aucun,vehicule,2,2,4,12,1,0,0,0,0,0,0,1,0,1,0
8,4,jour,non,aucun,normale,autres,route_secondaire,simple,sans,incline,courbe,autre,aucun,normale,80,conducteur,masculin,1994,personnelle,sans,croissant,2rm,structurel,aucun,1,1,1,14,0,0,1,0,0,0,1,1,1,1,1
11,7,jour,non,aucun,normale,deux_vl,route_secondaire,simple,sans,plat,courbe,normale,aucun,normale,80,passager_avant,feminin,1966,personnelle,sans,decroissant,2rm,aucun,vehicule,1,2,3,16,0,0,1,0,0,0,1,0,0,0,1
17,12,jour,oui,aucun,normale,deux_vl,route_secondaire,complexe,sans,plat,rectiligne,normale,aucun,normale,50,conducteur,masculin,1986,personnelle,sans,decroissant,vl,aucun,vehicule,11,2,2,16,1,0,0,0,0,0,1,0,1,0,0
28,2,jour,oui,simple,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,conducteur,feminin,1965,personnelle,sans,croissant,vl,aucun,vehicule,15,2,2,15,1,0,0,0,0,0,1,0,1,0,0
30,7,nocturne,oui,simple,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,30,conducteur,masculin,2000,personnelle,sans,decroissant,vl,aucun,vehicule,1,3,3,1,0,0,0,0,0,0,1,0,0,0,0
4,11,crepuscule_aube,non,aucun,difficiles,deux_vl,route_secondaire,simple,sans,plat,rectiligne,humide,aucun,normale,80,passager,feminin,2010,domicile,sans,croissant,pl,aucun,vehicule,21,2,16,17,1,0,0,0,0,0,1,0,1,0,0
14,9,jour,oui,aucun,difficiles,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,30,pieton,masculin,1935,personnelle,chaussee,decroissant,vl,aucun,pieton,1,1,3,8,0,0,0,0,0,0,1,0,1,0,1
14,4,jour,oui,aucun,normale,deux_vl,route_secondaire,simple,sans,incline,rectiligne,normale,aucun,normale,50,conducteur,masculin,1999,personnelle,sans,inconnu,pl,aucun,vehicule,26,2,3,17,1,0,0,0,0,0,1,0,1,0,0
26,8,nocturne,oui,simple,normale,deux_vl,route_secondaire,simple,avec,plat,rectiligne,normale,aucun,normale,50,conducteur,feminin,2003,personnelle,sans,croissant,cycle_edp,aucun,vehicule,11,2,2,22,0,0,0,0,0,0,0,0,0,0,1
30,11,nocturne,non,aucun,normale,autres,route_secondaire,simple,sans,plat,courbe,normale,aucun,particuliere,50,passager_avant,masculin,1999,personnelle,sans,inconnu,vl,naturel,aucun,1,1,3,20,1,0,0,0,0,0,1,0,0,0,1
14,2,crepuscule_aube,non,aucun,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,conducteur,masculin,1963,domicile,sans,croissant,2rm,aucun,vehicule,17,2,2,18,0,0,1,0,0,0,1,0,0,0,1
8,5,jour,non,aucun,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,80,passager_avant,masculin,1997,personnelle,sans,croissant,vl,aucun,vehicule,1,2,6,18,1,0,0,1,0,0,1,0,1,0,0
21,7,nocturne,oui,aucun,normale,deux_vl,route_secondaire,simple,sans,incline,courbe,normale,aucun,normale,50,conducteur,masculin,1976,personnelle,sans,decroissant,vl,structurel,vehicule,18,2,2,21,1,0,0,0,0,0,1,0,1,0,0
10,9,jour,oui,aucun,normale,sans_collision,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,pieton,masculin,2017,personnelle,chaussee,decroissant,vl,aucun,pieton,1,1,2,11,0,0,0,0,0,0,1,0,1,0,1
26,6,jour,oui,complexe,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,zones,normale,50,conducteur,feminin,1933,personnelle,sans,croissant,vl,structurel,aucun,1,1,1,14,1,0,0,0,0,0,1,0,0,1,0
20,12,nocturne,oui,simple,pluvieuses,autres,route_secondaire,simple,sans,plat,rectiligne,humide,routiers,normale,30,pieton,masculin,1997,personnelle,chaussee,decroissant,2rm,aucun,pieton,1,1,1,4,0,0,0,0,0,0,1,0,0,0,0
16,9,jour,oui,aucun,normale,deux_vl,route_secondaire,complexe,sans,plat,rectiligne,normale,aucun,normale,70,conducteur,masculin,1968,autre,sans,croissant,vl,aucun,vehicule,13,2,3,8,1,0,0,0,0,0,1,0,1,0,0
12,2,nocturne,oui,complexe,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,particuliere,50,conducteur,masculin,1990,personnelle,sans,decroissant,vl,structurel,aucun,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1
19,9,jour,non,aucun,normale,deux_vl,route_secondaire,simple,sans,incline,courbe,normale,aucun,normale,80,conducteur,feminin,1943,personnelle,sans,decroissant,vl,aucun,vehicule,1,2,2,15,1,0,0,0,0,0,1,0,1,0,0
10,3,jour,non,aucun,normale,deux_vl,route_principale,simple,sans,incline,rectiligne,normale,aucun,normale,90,conducteur,masculin,1992,personnelle,sans,croissant,vl,structurel,vehicule,14,2,3,13,1,0,0,0,0,0,1,0,0,1,0
23,5,jour,non,aucun,normale,sans_collision,route_secondaire,simple,sans,plat,courbe,normale,aucun,particuliere,80,passager_avant,masculin,1999,personnelle,sans,croissant,vl,naturel,aucun,1,1,2,11,1,0,0,0,0,0,1,1,1,1,1
14,3,nocturne,non,simple,normale,deux_vl,route_principale,simple,sans,incline,rectiligne,normale,routiers,normale,80,passager_avant,feminin,1999,domicile,sans,decroissant,vl,aucun,vehicule,1,2,3,21,1,0,0,0,0,0,1,0,0,0,0
23,7,crepuscule_aube,oui,simple,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,conducteur,masculin,1983,professionnelle,sans,croissant,vl,aucun,vehicule,16,2,2,21,1,0,0,0,0,0,1,0,0,0,0
24,6,jour,non,aucun,normale,autres,route_principale,complexe,sans,plat,rectiligne,normale,aucun,normale,90,conducteur,masculin,1958,domicile,sans,decroissant,vl,aucun,vehicule,2,3,3,18,1,0,0,0,0,0,1,0,0,0,0
4,6,jour,oui,simple,normale,deux_vl,route_secondaire,simple,avec,plat,rectiligne,normale,aucun,particuliere,50,conducteur,masculin,1962,autre,sans,decroissant,cycle_edp,aucun,vehicule,1,2,2,9,0,0,1,0,0,0,0,0,1,0,0
7,11,jour,non,aucun,normale,autres,route_principale,complexe,sans,plat,rectiligne,normale,routiers,normale,90,passager_avant,feminin,1947,personnelle,sans,croissant,vl,aucun,vehicule,2,4,5,11,1,0,0,0,0,0,1,0,0,0,1
6,3,jour,oui,aucun,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,conducteur,masculin,2000,autre,sans,decroissant,2rm,aucun,vehicule,2,3,3,14,0,0,0,0,0,0,1,0,0,0,1
17,7,jour,non,aucun,normale,autres,route_secondaire,simple,sans,incline,rectiligne,normale,aucun,normale,70,conducteur,masculin,1945,personnelle,sans,croissant,2rm,aucun,vehicule,17,3,4,12,0,1,1,0,0,0,1,0,1,0,1
15,12,jour,non,simple,difficiles,deux_vl,route_secondaire,simple,sans,plat,rectiligne,humide,aucun,normale,90,conducteur,masculin,1937,personnelle,sans,croissant,vl,aucun,vehicule,1,2,3,15,1,0,0,0,0,0,1,0,0,0,1
5,11,jour,non,aucun,difficiles,deux_vl,route_principale,simple,sans,plat,rectiligne,humide,aucun,normale,80,conducteur,masculin,1998,personnelle,sans,croissant,vl,aucun,vehicule,13,2,2,9,0,0,0,0,0,0,1,0,1,0,1
28,1,jour,oui,aucun,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,pieton,masculin,1945,personnelle,chaussee,decroissant,vl,aucun,pieton,1,1,3,16,0,0,0,0,0,0,1,0,0,0,1
1,12,nocturne,oui,simple,pluvieuses,autres,route_principale,simple,sans,plat,rectiligne,humide,aucun,normale,50,conducteur,feminin,1999,domicile,sans,decroissant,vl,aucun,pieton,1,1,2,17,1,0,0,0,0,0,1,0,1,0,0
10,10,jour,non,simple,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,80,passager_avant,feminin,1937,personnelle,sans,croissant,vl,aucun,vehicule,19,2,4,16,1,0,0,0,0,0,0,0,1,0,1
3,1,nocturne,non,aucun,normale,autres,route_principale,complexe,sans,plat,rectiligne,normale,aucun,normale,130,passager_avant,feminin,1977,personnelle,sans,decroissant,vl,aucun,vehicule,2,4,10,19,1,0,0,0,0,0,0,1,0,0,0
22,11,nocturne,oui,aucun,pluvieuses,autres,route_secondaire,complexe,avec,plat,rectiligne,humide,zones,normale,50,pieton,feminin,1959,personnelle,chaussee,inconnu,vl,aucun,pieton,1,1,3,18,0,0,0,0,0,0,1,0,0,1,1
3,5,jour,oui,simple,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,30,conducteur,feminin,1995,personnelle,sans,croissant,vl,aucun,vehicule,0,2,2,8,1,0,0,0,0,0,0,0,0,0,0
18,2,nocturne,oui,simple,normale,deux_vl,route_secondaire,complexe,sans,plat,rectiligne,normale,aucun,normale,70,conducteur,masculin,1982,personnelle,sans,decroissant,2rm,aucun,vehicule,2,2,2,21,0,0,1,0,0,0,1,0,0,0,0
15,9,jour,non,aucun,normale,sans_collision,route_secondaire,simple,sans,incline,courbe,normale,aucun,normale,80,passager_avant,feminin,1965,personnelle,sans,decroissant,2rm,naturel,aucun,1,1,2,15,0,1,1,0,0,0,1,0,0,0,1
13,5,jour,oui,aucun,normale,sans_collision,route_secondaire,simple,sans,plat,courbe,normale,aucun,normale,50,conducteur,masculin,2007,domicile,sans,decroissant,2rm,aucun,aucun,0,1,1,7,0,0,1,0,0,0,0,0,0,0,0
26,1,nocturne,oui,aucun,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,conducteur,masculin,1995,personnelle,sans,decroissant,vl,structurel,aucun,14,1,1,2,0,0,0,0,0,0,1,0,0,1,0
