Actual,Predicted,Proba
0,0,0.10049999999999999
0,0,0.08
0,0,0.0
0,0,0.14583333333333334
0,0,0.029166666666666664
0,0,0.265
0,0,0.038214285714285715
0,0,0.0
0,0,0.08983333333333335
0,0,0.29757142857142854
0,0,0.12883333333333333
1,1,0.5825
0,0,0.0
0,0,0.0
0,0,0.07433333333333333
0,0,0.2399761904761905
0,0,0.09583333333333334
0,0,0.12266666666666669
0,0,0.13373809523809524
0,0,0.03166666666666666
0,0,0.0
0,0,0.27066666666666667
0,0,0.14666666666666667
0,0,0.026666666666666665
0,0,0.19233333333333336
1,1,0.9019999999999999
0,0,0.23816666666666664
0,0,0.22266666666666662
0,0,0.01
0,0,0.085
0,0,0.02
0,0,0.3431666666666666
0,0,0.059333333333333335
0,0,0.03333333333333333
0,0,0.22883333333333336
1,0,0.43016666666666664
0,0,0.0
0,0,0.0
1,0,0.34650000000000003
1,0,0.3795
0,0,0.3345714285714286
1,1,0.5651666666666667
0,0,0.051666666666666666
0,0,0.36749999999999994
0,0,0.0
0,0,0.21833333333333332
0,0,0.09357142857142858
0,0,0.14361904761904762
1,0,0.19690476190476186
0,0,0.005
0,0,0.050333333333333334
1,0,0.2631666666666667
0,0,0.0
0,0,0.0
0,0,0.033571428571428565
0,0,0.013000000000000001
0,0,0.05
0,0,0.43666666666666665
0,0,0.03933333333333333
0,0,0.0
0,0,0.008333333333333333
0,0,0.07083333333333333
0,0,0.0
0,0,0.09214285714285714
1,0,0.3451666666666667
0,0,0.2399285714285714
0,0,0.029666666666666668
0,1,0.6738333333333335
0,0,0.11083333333333333
1,1,0.6443333333333334
1,0,0.21266666666666667
0,0,0.37316666666666665
0,0,0.08666666666666666
0,0,0.05802380952380952
0,0,0.18166666666666667
0,0,0.030833333333333334
0,0,0.11016666666666666
1,0,0.2688095238095239
0,0,0.006
0,0,0.035
0,0,0.006666666666666666
0,0,0.0
0,0,0.0
0,0,0.03766666666666667
0,0,0.01
0,0,0.04333333333333333
0,0,0.2482222222222222
0,0,0.0
0,0,0.1281190476190476
1,0,0.0175
0,0,0.0
0,0,0.2535238095238095
0,0,0.14866666666666667
0,0,0.04166666666666666
1,0,0.19216666666666668
1,0,0.2033095238095238
0,0,0.0
0,0,0.06766666666666667
0,0,0.39349999999999996
0,0,0.0
0,0,0.3885
0,0,0.005
0,0,0.2081666666666667
1,1,0.9641666666666666
0,0,0.15166666666666667
0,0,0.29466666666666674
0,0,0.0
1,0,0.37116666666666664
0,0,0.048499999999999995
0,0,0.18808333333333332
0,0,0.025
