,precision,recall,f1-score,support
0,0.8720694319206492,0.9584985133795837,0.9132436260623229,8072.0
1,0.6574642126789366,0.36164229471316084,0.46661828737300437,1778.0
accuracy,0.8507614213197969,0.8507614213197969,0.8507614213197969,0.8507614213197969
macro avg,0.764766822299793,0.6600704040463723,0.6899309567176637,9850.0
weighted avg,0.8333315557976274,0.8507614213197969,0.8326243517283526,9850.0
