,precision,recall,f1-score,support
0,0.874258329529895,0.949207135777998,0.910192444761226,8072.0
1,0.6224677716390423,0.38020247469066365,0.4720670391061452,1778.0
accuracy,0.846497461928934,0.846497461928934,0.846497461928934,0.846497461928934
macro avg,0.7483630505844687,0.6647048052343308,0.6911297419336856,9850.0
weighted avg,0.828808216643607,0.846497461928934,0.8311074730602378,9850.0
