,precision,recall,f1-score,support
0,0.9334295797240937,0.7208870168483648,0.8135048231511254,8072.0
1,0.3769358407079646,0.7665916760404949,0.5053763440860215,1778.0
accuracy,0.7291370558375635,0.7291370558375635,0.7291370558375635,0.7291370558375635
macro avg,0.6551827102160291,0.7437393464444298,0.6594405836185735,9850.0
weighted avg,0.8329782225697102,0.7291370558375635,0.757885286523942,9850.0
